Team Number,Mu,Sigma
303,27.0875,1.82012
1155,28.2332,3.0714
4122,24.9044,3.1461
639,27.3235,3.39431
2601,26.6511,3.14524
369,27.7221,3.22038
6401,25.0958,4.50629
250,27.658,3.20043
1796,23.8195,3.53891
6024,23.4863,3.27517
1635,25.5545,3.6082
527,24.4523,3.1799
1156,25.6537,3.07463
1665,24.1975,3.20721
353,27.5537,3.45312
5016,26.796,3.20138
1382,22.3593,4.6401
1880,25.1832,3.24199
2265,25.6166,3.27503
1600,24.6907,4.66384
2875,25.6106,3.36523
1923,27.4209,2.02909
6300,28.1976,3.28904
3314,23.8545,1.92285
3419,28.2531,3.10633
20,29.8206,3.07326
5202,24.6232,3.54987
3950,22.5274,3.51594
2872,22.6718,3.62141
5943,24.2023,3.35003
810,26.512,3.66259
4571,23.8782,3.17606
5123,21.2251,3.49349
3044,24.0689,3.19776
5599,22.1791,3.63808
6058,21.1147,4.91665
6648,25.7139,4.87693
2869,24.3807,3.54182
6593,25.9556,4.97307
5955,25.6616,4.9946
6601,22.734,4.70884
5814,22.0239,4.95596
6636,23.3828,4.7694
3004,26.2142,4.83693
4091,22.9697,5.03339
5781,22.268,4.67855
3204,22.37,4.64964
395,23.2042,3.33901
5654,26.687,2.44294
5747,24.0297,2.42992
1657,25.1213,2.49834
6738,23.351,2.47328
1574,32.3787,2.35643
2230,26.8759,2.31367
5951,23.3652,2.43249
1580,23.2575,3.14408
3083,26.3598,2.42942
1942,24.9754,2.65246
4338,26.3079,2.36103
4586,26.3219,2.30385
5928,24.8221,2.48401
1937,26.8004,2.40449
1690,24.9255,2.38757
3034,26.6414,2.60962
6740,26.3361,2.74872
5291,25.5369,2.61095
2630,24.0919,2.473
3316,22.3524,2.61568
4590,27.1711,2.31008
4757,20.7853,3.11241
5990,26.3764,2.62762
5038,24.0013,2.46252
1573,24.0359,2.74934
6049,23.3613,3.36963
6230,24.4745,3.36444
6737,19.6816,3.14054
3065,25.0101,2.95673
4784,20.1842,3.37295
6168,24.9871,2.47176
4319,19.2306,3.17762
5636,23.8842,3.22043
5715,21.7241,2.54321
1944,21.689,3.02841
955,26.6621,2.30228
3674,26.7706,2.32027
1540,25.3743,2.38953
5198,24.5265,2.22357
2550,27.9472,2.26616
2990,26.8673,2.29309
2811,25.3903,2.04126
1432,24.8741,3.10212
4043,25.3877,2.70955
997,25.1801,2.30371
4060,24.9378,3.03789
2915,22.89,2.9921
3024,27.6529,2.3379
2471,27.5076,2.20316
753,25.1518,2.25853
957,24.8041,2.39342
5085,25.3827,2.26847
6343,24.8606,2.35041
568,21.2041,2.88458
3711,25.9197,2.41581
4488,27.6252,2.27191
2521,22.6,2.47419
6445,27.8921,2.30233
1425,27.5407,2.23258
4051,25.4596,3.05312
847,25.9753,2.83033
4057,23.9665,2.94833
3574,23.794,2.84767
